Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,127.250000,128.000000,126.580002,127.559998,127.559998,959800
2017-12-27,127.599998,127.959999,126.750000,126.959999,126.959999,1236000
2017-12-28,127.330002,127.330002,125.959999,126.610001,126.610001,1189000
2017-12-29,126.529999,126.919998,125.260002,125.320000,125.320000,1145900
2018-01-02,126.199997,127.489998,125.720001,127.290001,127.290001,1285700
2018-01-03,127.980003,130.990005,127.800003,130.029999,130.029999,1876400
2018-01-04,130.380005,132.800003,130.169998,131.240005,131.240005,1659500
2018-01-05,131.750000,132.289993,131.000000,131.259995,131.259995,995500
2018-01-08,131.000000,131.130005,130.000000,130.899994,130.899994,1277100
2018-01-09,130.850006,131.000000,128.919998,129.270004,129.270004,1324900
2018-01-10,128.809998,129.220001,127.389999,129.220001,129.220001,1270600
2018-01-11,131.729996,133.330002,130.869995,133.270004,133.270004,1345200
2018-01-12,132.789993,133.119995,131.500000,132.529999,132.529999,1185700
2018-01-16,133.210007,134.449997,132.059998,132.139999,132.139999,1389200
2018-01-17,133.000000,135.990005,132.389999,135.330002,135.330002,1454300
2018-01-18,135.000000,136.190002,134.009995,135.630005,135.630005,1088400
2018-01-19,135.649994,136.619995,135.500000,136.039993,136.039993,1287000
2018-01-22,136.149994,137.399994,134.850006,136.690002,136.690002,1261000
2018-01-23,137.000000,138.119995,136.720001,137.960007,137.960007,1349900
2018-01-24,137.000000,138.320007,135.759995,137.070007,137.070007,1438500
2018-01-25,137.660004,139.320007,136.740005,137.630005,137.630005,1118900
2018-01-26,145.210007,149.869995,144.250000,148.160004,148.160004,1823959
